Filename,Image URL,URL
Mild_D_00001,https://drive.google.com/uc?export=view&id=1IJi4ur_Ke1fPkLt2DlgjyGMC26YJ69Lu,https://drive.google.com/thumbnail?id=1IJi4ur_Ke1fPkLt2DlgjyGMC26YJ69Lu&sz=w1000
Mild_D_00002,https://drive.google.com/uc?export=view&id=1Nw-BEVwUe4_mWXNO_dvPizqTNpq7cNI3,https://drive.google.com/thumbnail?id=1Nw-BEVwUe4_mWXNO_dvPizqTNpq7cNI3&sz=w1000
Mild_D_00003,https://drive.google.com/uc?export=view&id=1GADa9UzJMWN2BgNsBihpN_Oe3EHF75xK,https://drive.google.com/thumbnail?id=1GADa9UzJMWN2BgNsBihpN_Oe3EHF75xK&sz=w1000
Mild_D_00004,https://drive.google.com/uc?export=view&id=161YcLWzIgVnhtJS3dSJh4GtfJ6i8xyde,https://drive.google.com/thumbnail?id=161YcLWzIgVnhtJS3dSJh4GtfJ6i8xyde&sz=w1000
Mild_D_00005,https://drive.google.com/uc?export=view&id=1kDWt8fK3jujJ5ByvKf-X-TwVGoKs00cf,https://drive.google.com/thumbnail?id=1kDWt8fK3jujJ5ByvKf-X-TwVGoKs00cf&sz=w1000
Mild_D_00006,https://drive.google.com/uc?export=view&id=1RnagjLHW0TRrrg8I9EnmSkMzvc3EBEdL,https://drive.google.com/thumbnail?id=1RnagjLHW0TRrrg8I9EnmSkMzvc3EBEdL&sz=w1000
Mild_D_00007,https://drive.google.com/uc?export=view&id=1LRYmLShspKatf0biwwFvb0jC4BB2Yl-z,https://drive.google.com/thumbnail?id=1LRYmLShspKatf0biwwFvb0jC4BB2Yl-z&sz=w1000
Mild_D_00008,https://drive.google.com/uc?export=view&id=1eP6F2sWXs0co-QZ7bcd-y-YdxXF17FPY,https://drive.google.com/thumbnail?id=1eP6F2sWXs0co-QZ7bcd-y-YdxXF17FPY&sz=w1000
Mild_D_00009,https://drive.google.com/uc?export=view&id=1aLKHZSMxatJlS_n72ptieSRZp2GQncA3,https://drive.google.com/thumbnail?id=1aLKHZSMxatJlS_n72ptieSRZp2GQncA3&sz=w1000
Mild_D_00010,https://drive.google.com/uc?export=view&id=1ZE__FJItW6iQnzxKz7QQl-o1I5JUcFQt,https://drive.google.com/thumbnail?id=1ZE__FJItW6iQnzxKz7QQl-o1I5JUcFQt&sz=w1000
Mild_D_00011,https://drive.google.com/uc?export=view&id=1YZk6yqpc4VyhDwGr5SsBVq0zI_hLQUk8,https://drive.google.com/thumbnail?id=1YZk6yqpc4VyhDwGr5SsBVq0zI_hLQUk8&sz=w1000
Mild_D_00012,https://drive.google.com/uc?export=view&id=1BW_tgvEq8xNpztAZ4fdemEmR8vpocNNO,https://drive.google.com/thumbnail?id=1BW_tgvEq8xNpztAZ4fdemEmR8vpocNNO&sz=w1000
Mild_D_00013,https://drive.google.com/uc?export=view&id=1B5WrmFVweA32CiwUWEc3WJNz-vC8bh4X,https://drive.google.com/thumbnail?id=1B5WrmFVweA32CiwUWEc3WJNz-vC8bh4X&sz=w1000
Mild_D_00014,https://drive.google.com/uc?export=view&id=1Otpu4KoE73q3J3dmt3OqR6W3zHv0NDHE,https://drive.google.com/thumbnail?id=1Otpu4KoE73q3J3dmt3OqR6W3zHv0NDHE&sz=w1000
Mild_D_00015,https://drive.google.com/uc?export=view&id=1N7hihwjajTCQWFBbFjUcZ9naEl34Th5K,https://drive.google.com/thumbnail?id=1N7hihwjajTCQWFBbFjUcZ9naEl34Th5K&sz=w1000
Mild_D_00016,https://drive.google.com/uc?export=view&id=1DBehLuZAXFdLL8DLA8NOfviHtNnVi9-l,https://drive.google.com/thumbnail?id=1DBehLuZAXFdLL8DLA8NOfviHtNnVi9-l&sz=w1000
Mild_D_00017,https://drive.google.com/uc?export=view&id=1PtVRTZYbPTyCANU4fR9hX0ixcMeis3We,https://drive.google.com/thumbnail?id=1PtVRTZYbPTyCANU4fR9hX0ixcMeis3We&sz=w1000
Mild_D_00018,https://drive.google.com/uc?export=view&id=1xzNTNyxd25qTrSJrUjBXP9QnNjh5cYnN,https://drive.google.com/thumbnail?id=1xzNTNyxd25qTrSJrUjBXP9QnNjh5cYnN&sz=w1000
