Filename,Image_URL,First_Label,Mean_pixel_intensity,Std_pixel_intensity,Entropy,Edge_Density
00046ff7-0fae-4796-9a2b-2df47095bfe6.jpg,https://drive.google.com/uc?export=view&id=1bVyE2HB-qyfGle-q9dF24q5EGlukHTKA,MildDemented,54.81,60.67,5.01,11.2248
000cdcc4-3e54-4034-a538-203c8047b564.jpg,https://drive.google.com/uc?export=view&id=1bVyE2HB-qyfGle-q9dF24q5EGlukHTKA,MildDemented,73.52,84.52,5.34,13.9356
0013ad52-8398-4892-9fde-060eb1ae956d.jpg,https://drive.google.com/uc?export=view&id=1bVyE2HB-qyfGle-q9dF24q5EGlukHTKA,MildDemented,78.8,82.67,5.87,14.811
0015bdfc-2059-4195-8eff-9c5cf2e2c025.jpg,https://drive.google.com/uc?export=view&id=1bVyE2HB-qyfGle-q9dF24q5EGlukHTKA,MildDemented,74.39,77.11,5.77,13.6071
001f15e8-6ad4-4e7a-bc36-b62b984dad69.jpg,https://drive.google.com/uc?export=view&id=1bVyE2HB-qyfGle-q9dF24q5EGlukHTKA,MildDemented,68.1,79.64,5.25,13.8981
001f89e3-8207-4ee4-80d7-711c2acd191a.jpg,https://drive.google.com/uc?export=view&id=1bVyE2HB-qyfGle-q9dF24q5EGlukHTKA,MildDemented,78.22,85.53,5.75,14.345
002cb9c1-b160-4c76-b7e4-5fb2f1b527f7.jpg,https://drive.google.com/uc?export=view&id=1bVyE2HB-qyfGle-q9dF24q5EGlukHTKA,MildDemented,33.49,50.98,4.17,9.5153
0033c404-4e68-438d-8312-ba5ba0100d46.jpg,https://drive.google.com/uc?export=view&id=1bVyE2HB-qyfGle-q9dF24q5EGlukHTKA,MildDemented,87.3,92.13,5.64,13.8969
00372fb8-22c8-4a67-8b10-564caed780fa.jpg,https://drive.google.com/uc?export=view&id=1bVyE2HB-qyfGle-q9dF24q5EGlukHTKA,MildDemented,54.04,60.09,5.2,9.8305
00387cfa-b6ce-4eb0-8cc5-9273080c8187.jpg,https://drive.google.com/uc?export=view&id=1bVyE2HB-qyfGle-q9dF24q5EGlukHTKA,MildDemented,72.1,86.37,5.36,11.7294
